t,3A,6,3B,4,4TC,1,0,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NS1,NS2,NS3,NS4,NS5,NS6,NS7,NS8,NS9,NS10
,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.1,0.5,0.4,0.8,1,0,1.0,0.5,0.3,0.2,0.14,0.1,0.085714,0.075,0.066667,0.06,1.0,0.7,0.5,0.375,0.3,0.25,0.214286,0.1875,0.166667,0.15
1.0,0.1,0.2,0.4,0.3,0.1,0,0,0.0,0.5,0.4,0.3,0.24,0.2,0.157143,0.125,0.1,0.08,0.0,0.3,0.4,0.325,0.28,0.25,0.214286,0.1875,0.166667,0.15
2.0,0.1,0.2,0.1,0.2,0.05,0,0,0.0,0.0,0.3,0.3,0.24,0.2,0.171429,0.15,0.133333,0.12,0.0,0.0,0.1,0.225,0.24,0.2,0.185714,0.175,0.166667,0.15
3.0,0.0,0.2,0.0,0.1,0.05,0,0,0.0,0.0,0.0,0.2,0.24,0.2,0.171429,0.15,0.133333,0.12,0.0,0.0,0.0,0.075,0.12,0.2,0.171429,0.15,0.133333,0.13
4.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.14,0.2,0.171429,0.15,0.133333,0.12,0.0,0.0,0.0,0.0,0.06,0.05,0.128571,0.15,0.133333,0.12
5.0,0.0,0.1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.157143,0.15,0.133333,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.042857,0.075,0.133333,0.12
6.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.085714,0.125,0.133333,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.042857,0.0375,0.033333,0.09
7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.033333,0.03
8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066667,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.03
9.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
