t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.0947,0.9199
2026,4.0598,3.7274,1.108
2027,5.5012,5.0508,1.5013
2028,6.9894,6.4172,1.9075
2029,8.1212,7.4563,2.2164
2030,9.4004,8.6308,2.5655
2031,11.1923,10.276,3.0545
2032,12.9843,11.9212,3.5435
2033,14.7762,13.5664,4.0326
2034,16.6247,15.2636,4.537
2035,18.4167,16.9088,5.0261
2036,20.2652,18.606,5.5306
2037,22.1081,20.2981,6.0335
2038,24.0319,22.0643,6.5585
2039,26.1034,23.9663,7.1239
2040,28.2441,25.9317,7.7081
2041,30.3338,27.8503,8.2784
2042,32.532,29.8685,8.8783
2043,34.8675,32.0128,9.5157
2044,37.1103,34.0719,10.1278
2045,40.8439,37.4999,11.1467
2046,44.4931,40.8503,12.1426
2047,47.3709,43.4925,12.928
2048,50.746,46.5913,13.8491
2049,55.5256,50.9796,15.1535
2050,60.4782,55.5266,16.5051
