t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6461,2.415
2026,4.0598,3.1872,2.9088
2027,5.5012,4.3187,3.9415
2028,6.9894,5.4871,5.0078
2029,8.1212,6.3756,5.8188
2030,9.4004,7.3798,6.7353
2031,12.5922,9.8855,9.0221
2032,15.784,12.3913,11.309
2033,18.9757,14.897,13.5958
2034,22.1675,17.4027,15.8827
2035,25.3593,19.9084,18.1696
2036,28.551,22.4141,20.4564
2037,31.7428,24.9198,22.7433
2038,34.9995,27.4765,25.0767
2039,38.1913,29.9822,27.3635
2040,41.448,32.5389,29.6969
2041,45.372,35.6195,32.5084
2042,49.3852,38.77,35.3838
2043,53.5461,42.0366,38.3651
2044,57.7762,45.3575,41.3959
2045,61.9847,48.6613,44.4112
2046,66.3919,52.1213,47.5689
2047,70.9731,55.7177,50.8512
2048,75.4615,59.2414,54.0671
2049,81.4408,63.9354,58.3512
2050,87.3357,68.5632,62.5748
