t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.1851,0.6185
2026,4.0598,3.8363,0.745
2027,5.5012,5.1984,1.0095
2028,6.9894,6.6047,1.2826
2029,8.1212,7.6741,1.4903
2030,9.4004,8.8829,1.725
2031,10.9763,10.3721,2.0142
2032,12.5523,11.8612,2.3034
2033,14.1282,13.3504,2.5926
2034,15.7041,14.8396,2.8818
2035,17.2801,16.3288,3.171
2036,18.856,17.8179,3.4602
2037,20.4829,19.3553,3.7588
2038,22.1229,20.905,4.0597
2039,23.9106,22.5943,4.3878
2040,25.7675,24.3489,4.7285
2041,27.4925,25.9789,5.0451
2042,29.326,27.7115,5.3815
2043,31.2089,29.4907,5.7271
2044,32.999,31.1823,6.0556
2045,36.28,34.2827,6.6577
2046,39.4766,37.3033,7.2443
2047,41.9018,39.595,7.6893
2048,44.8243,42.3566,8.2256
2049,49.1513,46.4454,9.0196
2050,53.6513,50.6976,9.8454
