t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9985,1.2404
2026,4.0598,3.6116,1.494
2027,5.5012,4.8939,2.0245
2028,6.9894,6.2178,2.5722
2029,8.1212,7.2246,2.9887
2030,9.4004,8.3626,3.4594
2031,11.4859,10.2178,4.2269
2032,13.5713,12.073,4.9944
2033,15.6568,13.9283,5.7618
2034,17.7423,15.7835,6.5293
2035,19.8927,17.6965,7.3207
2036,21.9782,19.5517,8.0881
2037,24.1286,21.4647,8.8795
2038,26.265,23.3653,9.6658
2039,28.4907,25.3453,10.4848
2040,30.8642,27.4567,11.3583
2041,33.3301,29.6503,12.2657
2042,35.8077,31.8544,13.1775
2043,38.4507,34.2057,14.1502
2044,41.2676,36.7116,15.1868
2045,43.9918,39.135,16.1894
2046,48.2069,42.8847,17.7405
2047,52.3376,46.5594,19.2607
2048,55.6968,49.5477,20.4969
2049,59.5534,52.9785,21.9161
2050,64.8145,57.6588,23.8523
