t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8882,1.6082
2026,4.0598,3.4787,1.9369
2027,5.5012,4.7138,2.6247
2028,6.9894,5.989,3.3347
2029,8.1212,6.9588,3.8747
2030,9.4004,8.0549,4.485
2031,11.8322,10.1387,5.6452
2032,14.264,12.2224,6.8054
2033,16.6958,14.3061,7.9657
2034,19.1277,16.3899,9.1259
2035,21.5595,18.4736,10.2861
2036,24.0562,20.613,11.4773
2037,26.488,22.6968,12.6376
2038,28.9848,24.8362,13.8288
2039,31.4676,26.9636,15.0133
2040,34.0397,29.1675,16.2405
2041,36.9887,31.6945,17.6475
2042,40.0069,34.2807,19.0875
2043,43.0035,36.8483,20.5171
2044,46.1988,39.5863,22.0417
2045,49.5681,42.4733,23.6491
2046,52.8446,45.2809,25.2124
2047,57.612,49.3659,27.4869
2048,62.2949,53.3786,29.7212
2049,66.2065,56.7303,31.5874
2050,70.6154,60.5081,33.6909
