t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.5617,2.6965
2026,4.0598,3.0854,3.2478
2027,5.5012,4.1809,4.401
2028,6.9894,5.312,5.5916
2029,8.1212,6.1721,6.497
2030,9.4004,7.1443,7.5203
2031,12.8573,9.7716,10.2859
2032,16.3142,12.3988,13.0514
2033,19.7711,15.026,15.8169
2034,23.228,17.6533,18.5824
2035,26.6849,20.2805,21.3479
2036,30.1418,22.9078,24.1135
2037,33.5987,25.535,26.879
2038,37.0556,28.1623,29.6445
2039,40.5775,30.8389,32.462
2040,44.0344,33.4661,35.2275
2041,48.3951,36.7803,38.7161
2042,52.7418,40.0838,42.1935
2043,57.1778,43.4551,45.7423
2044,61.7616,46.9388,49.4093
2045,66.4145,50.475,53.1316
2046,71.0457,53.9948,56.8366
2047,75.8758,57.6656,60.7006
2048,80.8797,61.4686,64.7038
2049,85.791,65.2011,68.6328
2050,92.193,70.0667,73.7544
