t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.2021,0.5618
2026,4.0598,3.8568,0.6766
2027,5.5012,5.2261,0.9169
2028,6.9894,6.64,1.1649
2029,8.1212,7.7152,1.3535
2030,9.4004,8.9304,1.5667
2031,10.9357,10.3889,1.8226
2032,12.4709,11.8474,2.0785
2033,14.0061,13.3058,2.3344
2034,15.5414,14.7643,2.5902
2035,17.0766,16.2228,2.8461
2036,18.6119,17.6813,3.102
2037,20.1981,19.1882,3.3664
2038,21.7878,20.6984,3.6313
2039,23.5319,22.3553,3.922
2040,25.3353,24.0685,4.2225
2041,26.9915,25.642,4.4986
2042,28.7564,27.3185,4.7927
2043,30.554,29.0263,5.0923
2044,32.2589,30.6459,5.3765
2045,35.4546,33.6819,5.9091
2046,38.566,36.6377,6.4277
2047,40.9059,38.8606,6.8176
2048,43.7431,41.556,7.2905
2049,47.9849,45.5856,7.9975
2050,52.3996,49.7796,8.7333
