t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8819,1.6292
2026,4.0598,3.4711,1.9622
2027,5.5012,4.7035,2.6589
2028,6.9894,5.976,3.3782
2029,8.1212,6.9437,3.9253
2030,9.4004,8.0374,4.5435
2031,11.852,10.1335,5.7285
2032,14.3036,12.2296,6.9134
2033,16.7552,14.3257,8.0983
2034,19.2068,16.4218,9.2833
2035,21.6583,18.5179,10.4682
2036,24.1749,20.6695,11.6845
2037,26.6265,22.7656,12.8695
2038,29.143,24.9173,14.0858
2039,31.6456,27.057,15.2954
2040,34.2374,29.273,16.5481
2041,37.218,31.8214,17.9887
2042,40.2677,34.4289,19.4627
2043,43.2958,37.0179,20.9263
2044,46.5227,39.7769,22.486
2045,49.9235,42.6846,24.1297
2046,53.2315,45.513,25.7286
2047,58.0305,49.616,28.0481
2048,62.745,53.6469,30.3267
2049,66.688,57.0183,32.2326
2050,71.1285,60.8148,34.3788
