t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6649,2.3524
2026,4.0598,3.2098,2.8334
2027,5.5012,4.3494,3.8394
2028,6.9894,5.526,4.878
2029,8.1212,6.4209,5.6679
2030,9.4004,7.4322,6.5607
2031,12.5332,9.9091,8.7471
2032,15.666,12.386,10.9335
2033,18.7988,14.8628,13.1199
2034,21.9316,17.3397,15.3063
2035,25.0644,19.8166,17.4928
2036,28.1972,22.2935,19.6792
2037,31.33,24.7704,21.8656
2038,34.5278,27.2986,24.0973
2039,37.6606,29.7755,26.2838
2040,40.8583,32.3037,28.5155
2041,44.6883,35.3317,31.1885
2042,48.6074,38.4303,33.9237
2043,52.6743,41.6457,36.762
2044,56.8104,44.9158,39.6486
2045,60.9248,48.1688,42.5202
2046,65.2381,51.5789,45.5304
2047,69.7252,55.1266,48.662
2048,74.1195,58.6009,51.7289
2049,80.0048,63.2539,55.8363
2050,85.8056,67.8402,59.8848
