t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.104,0.8888
2026,4.0598,3.7386,1.0706
2027,5.5012,5.066,1.4507
2028,6.9894,6.4365,1.8431
2029,8.1212,7.4788,2.1416
2030,9.4004,8.6567,2.4789
2031,11.1701,10.2864,2.9456
2032,12.9398,11.9161,3.4122
2033,14.7095,13.5458,3.8789
2034,16.5287,15.2211,4.3586
2035,18.2984,16.8508,4.8253
2036,20.1177,18.5262,5.305
2037,21.9384,20.2028,5.7851
2038,23.8329,21.9475,6.2847
2039,25.8752,23.8282,6.8233
2040,27.9867,25.7726,7.3801
2041,30.0388,27.6624,7.9212
2042,32.1994,29.6521,8.491
2043,34.4883,31.7599,9.0945
2044,36.6844,33.7823,9.6737
2045,40.3714,37.1776,10.6459
2046,43.974,40.4952,11.5959
2047,46.8051,43.1024,12.3425
2048,50.1336,46.1676,13.2202
2049,54.8666,50.5261,14.4683
2050,59.7726,55.044,15.762
