t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8013,1.898
2026,4.0598,3.374,2.286
2027,5.5012,4.5719,3.0976
2028,6.9894,5.8088,3.9356
2029,8.1212,6.7494,4.5729
2030,9.4004,7.8125,5.2932
2031,12.1052,10.0603,6.8162
2032,14.8099,12.3082,8.3392
2033,17.5147,14.556,9.8622
2034,20.2194,16.8039,11.3852
2035,22.9242,19.0517,12.9082
2036,25.6289,21.2996,14.4312
2037,28.3987,23.6014,15.9907
2038,31.1034,25.8493,17.5137
2039,33.8731,28.1511,19.0733
2040,36.6289,30.4414,20.625
2041,39.8654,33.1312,22.4474
2042,43.2497,35.9438,24.3531
2043,46.7032,38.8139,26.2976
2044,50.135,41.666,28.23
2045,53.7657,44.6833,30.2744
2046,57.5702,47.8452,32.4166
2047,61.2819,50.9299,34.5066
2048,66.4846,55.2537,37.4361
2049,71.6028,59.5074,40.3181
2050,75.9496,63.1199,42.7657
