t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6288,2.4729
2026,4.0598,3.1662,2.9785
2027,5.5012,4.2904,4.0361
2028,6.9894,5.4511,5.1279
2029,8.1212,6.3337,5.9583
2030,9.4004,7.3314,6.8968
2031,12.6467,9.8632,9.2785
2032,15.8931,12.395,11.6603
2033,19.1394,14.9268,14.042
2034,22.3857,17.4586,16.4237
2035,25.632,19.9904,18.8054
2036,28.8784,22.5222,21.1872
2037,32.1247,25.054,23.5689
2038,35.4359,27.6365,25.9983
2039,38.6823,30.1683,28.38
2040,41.9935,32.7507,30.8094
2041,46.0045,35.8789,33.7521
2042,50.1047,39.0766,36.7603
2043,54.3526,42.3896,39.8769
2044,58.6697,45.7565,43.0442
2045,62.9652,49.1065,46.1956
2046,67.4594,52.6116,49.4929
2047,72.1276,56.2522,52.9178
2048,76.703,59.8206,56.2747
2049,82.7693,64.5517,60.7253
2050,88.7511,69.2169,65.114
