t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.0278,1.1429
2026,4.0598,3.6468,1.3766
2027,5.5012,4.9416,1.8654
2028,6.9894,6.2784,2.37
2029,8.1212,7.2951,2.7538
2030,9.4004,8.4442,3.1875
2031,11.3941,10.235,3.8636
2032,13.3877,12.0258,4.5396
2033,15.3813,13.8167,5.2156
2034,17.375,15.6075,5.8916
2035,19.4336,17.4567,6.5896
2036,21.4272,19.2475,7.2656
2037,23.4858,21.0967,7.9637
2038,25.5305,22.9334,8.657
2039,27.6643,24.8502,9.3806
2040,29.946,26.8997,10.1542
2041,32.2654,28.9832,10.9407
2042,34.625,31.1028,11.7408
2043,37.1216,33.3454,12.5874
2044,39.7921,35.7443,13.4929
2045,42.3699,38.0598,14.367
2046,46.4385,41.7146,15.7466
2047,50.4228,45.2935,17.0976
2048,53.6356,48.1795,18.187
2049,57.3457,51.5122,19.4451
2050,62.4604,56.1066,21.1794
