i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6289.9,136.0,2.6,9.18
Nuclear-SMR,2031,6083.0,136.0,2.6,9.18
Nuclear-SMR,2032,5909.2,136.0,2.6,9.18
Nuclear-SMR,2033,5760.1,136.0,2.6,9.18
Nuclear-SMR,2034,5629.9,136.0,2.6,9.18
Nuclear-SMR,2035,5472.4,136.0,2.6,9.18
Nuclear-SMR,2036,5189.2,136.0,2.6,9.18
Nuclear-SMR,2037,4970.5,136.0,2.6,9.18
Nuclear-SMR,2038,4794.5,136.0,2.6,9.18
Nuclear-SMR,2039,4648.6,136.0,2.6,9.18
Nuclear-SMR,2040,4523.1,136.0,2.6,9.18
Nuclear-SMR,2041,4369.0,136.0,2.6,9.18
Nuclear-SMR,2042,4240.9,136.0,2.6,9.18
Nuclear-SMR,2043,4124.4,136.0,2.6,9.18
Nuclear-SMR,2044,4024.2,136.0,2.6,9.18
Nuclear-SMR,2045,3939.1,136.0,2.6,9.18
Nuclear-SMR,2046,3801.5,136.0,2.6,9.18
Nuclear-SMR,2047,3683.8,136.0,2.6,9.18
Nuclear-SMR,2048,3583.5,136.0,2.6,9.18
Nuclear-SMR,2049,3474.4,136.0,2.6,9.18
Nuclear-SMR,2050,3364.0,136.0,2.6,9.18
