i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9658.3,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2031,9658.3,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2032,8524.9,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2033,8027.7,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2034,7711.6,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2035,7481.7,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2036,7302.1,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2037,7155.4,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2038,7031.7,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2039,6925.0,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2040,6831.4,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2041,6748.2,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2042,6605.7,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2043,6486.5,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2044,6384.3,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2045,6295.1,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2046,6216.1,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2047,6145.2,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2048,6081.0,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2049,6022.4,208.55821725854668,2.7544380648482445,9.18
Nuclear-SMR,2050,5965.5,208.55821725854668,2.7544380648482445,9.18
