i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9610.3,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2031,9610.3,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2032,9595.2,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2033,9580.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2034,9566.6,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2035,9552.9,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2036,9539.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2037,9525.3,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2038,9511.1,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2039,9497.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2040,9484.3,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2041,9471.4,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2042,9455.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2043,9440.1,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2044,9424.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2045,9409.9,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2046,9395.0,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2047,9377.5,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2048,9360.9,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2049,9340.7,207.51219463863845,2.7480338447263577,9.18
Nuclear-SMR,2050,9320.1,207.51219463863845,2.7480338447263577,9.18
