i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9825.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2031,9825.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2032,9817.3,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2033,9809.0,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2034,9800.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2035,9792.7,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2036,9784.5,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2037,9777.2,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2038,9769.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2039,9762.6,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2040,9755.1,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2041,9747.3,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2042,9737.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2043,9728.3,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2044,9718.6,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2045,9708.5,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2046,9698.8,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2047,9685.1,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2048,9672.0,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2049,9661.3,212.20549794625276,2.776768354772976,9.18
Nuclear-SMR,2050,9649.3,212.20549794625276,2.776768354772976,9.18
