i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9359.9,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2031,9359.9,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2032,9296.3,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2033,9236.1,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2034,9179.0,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2035,9124.5,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2036,9072.6,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2037,9023.0,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2038,8975.5,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2039,8930.0,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2040,8885.7,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2041,8843.7,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2042,8783.8,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2043,8727.1,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2044,8672.7,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2045,8619.9,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2046,8569.2,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2047,8520.9,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2048,8473.6,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2049,8427.4,202.0599787520576,2.7146529311350465,9.18
Nuclear-SMR,2050,8382.7,202.0599787520576,2.7146529311350465,9.18
