i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9886.7,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2031,9886.7,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2032,9884.8,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2033,9883.0,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2034,9881.1,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2035,9879.3,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2036,9877.6,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2037,9875.8,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2038,9874.1,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2039,9872.4,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2040,9870.7,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2041,9869.0,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2042,9866.7,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2043,9864.5,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2044,9862.2,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2045,9859.9,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2046,9857.7,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2047,9855.4,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2048,9853.1,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2049,9850.9,213.53159270106698,2.7848873022514304,9.18
Nuclear-SMR,2050,9848.1,213.53159270106698,2.7848873022514304,9.18
