i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9626.6,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2031,9626.6,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2032,9113.2,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2033,8748.8,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2034,8468.9,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2035,8243.0,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2036,8054.5,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2037,7893.2,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2038,7752.6,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2039,7628.4,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2040,7517.1,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2041,7416.6,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2042,7254.8,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2043,7115.3,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2044,6993.0,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2045,6884.5,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2046,6787.0,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2047,6698.5,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2048,6617.7,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2049,6542.7,207.86874036010445,2.7502167777149253,9.18
Nuclear-SMR,2050,6462.0,207.86874036010445,2.7502167777149253,9.18
