i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6167.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2031,6167.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2032,5932.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2033,5733.6,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2034,5562.3,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2035,5411.9,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2036,5278.2,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2037,4979.9,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2038,4744.1,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2039,4550.7,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2040,4388.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2041,4248.1,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2042,4066.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2043,3914.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2044,3784.3,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2045,3671.5,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2046,3572.3,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2047,3405.3,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2048,3268.0,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2049,3152.3,132.52664491014232,2.288938642306994,9.18
Nuclear-SMR,2050,3021.4,132.52664491014232,2.288938642306994,9.18
