i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8388.5,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2031,8388.5,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2032,6156.4,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2033,5326.9,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2034,4841.7,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2035,4508.1,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2036,4257.9,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2037,4167.6,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2038,4085.3,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2039,4009.8,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2040,3940.1,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2041,3875.6,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2042,3612.1,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2043,3413.7,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2044,3256.4,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2045,3127.0,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2046,3017.9,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2047,2924.0,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2048,2841.8,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2049,2769.1,180.9042227201925,2.58512789420526,9.18
Nuclear-SMR,2050,2699.1,180.9042227201925,2.58512789420526,9.18
