i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8950.6,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2031,8950.6,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2032,6148.7,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2033,5325.3,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2034,4863.5,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2035,4551.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2036,4318.5,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2037,4135.5,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2038,3985.6,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2039,3859.4,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2040,3751.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2041,3656.2,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2042,3499.8,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2043,3372.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2044,3264.4,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2045,3172.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2046,3091.4,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2047,3020.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2048,2956.0,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2049,2898.4,193.14745044710006,2.6600864313087755,9.18
Nuclear-SMR,2050,2842.6,193.14745044710006,2.6600864313087755,9.18
