i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,7717.1,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2031,7717.1,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2032,6204.8,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2033,5555.8,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2034,5156.5,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2035,4873.9,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2036,4658.0,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2037,4484.7,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2038,4340.9,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2039,4218.4,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2040,4112.5,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2041,4019.2,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2042,3925.6,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2043,3842.3,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2044,3767.4,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2045,3699.5,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2046,3637.7,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2047,3580.7,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2048,3527.9,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2049,3479.2,166.28448633830368,2.495619304112063,9.18
Nuclear-SMR,2050,3420.4,166.28448633830368,2.495619304112063,9.18
