i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,7879.0,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2031,7879.0,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2032,6399.5,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2033,5700.3,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2034,5259.1,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2035,4943.7,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2036,4701.5,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2037,4506.9,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2038,4345.2,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2039,4207.8,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2040,4088.8,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2041,3984.2,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2042,3819.3,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2043,3682.4,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2044,3566.0,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2045,3465.1,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2046,3376.5,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2047,3297.5,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2048,3226.5,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2049,3162.4,169.8101349235955,2.5172049076954828,9.18
Nuclear-SMR,2050,3093.8,169.8101349235955,2.5172049076954828,9.18
