i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8000.0,136.0,2.6,9.18
Nuclear-SMR,2031,8000.0,136.0,2.6,9.18
Nuclear-SMR,2032,7710.6,136.0,2.6,9.18
Nuclear-SMR,2033,7480.1,136.0,2.6,9.18
Nuclear-SMR,2034,7288.7,136.0,2.6,9.18
Nuclear-SMR,2035,7125.2,136.0,2.6,9.18
Nuclear-SMR,2036,6982.8,136.0,2.6,9.18
Nuclear-SMR,2037,6696.3,136.0,2.6,9.18
Nuclear-SMR,2038,6470.8,136.0,2.6,9.18
Nuclear-SMR,2039,6285.4,136.0,2.6,9.18
Nuclear-SMR,2040,6128.9,136.0,2.6,9.18
Nuclear-SMR,2041,5993.7,136.0,2.6,9.18
Nuclear-SMR,2042,5819.5,136.0,2.6,9.18
Nuclear-SMR,2043,5672.7,136.0,2.6,9.18
Nuclear-SMR,2044,5546.4,136.0,2.6,9.18
Nuclear-SMR,2045,5435.4,136.0,2.6,9.18
Nuclear-SMR,2046,5336.7,136.0,2.6,9.18
Nuclear-SMR,2047,5173.6,136.0,2.6,9.18
Nuclear-SMR,2048,5035.5,136.0,2.6,9.18
Nuclear-SMR,2049,4917.7,136.0,2.6,9.18
Nuclear-SMR,2050,4785.2,136.0,2.6,9.18
