i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9530.1,205.766,2.737,9.18
Nuclear-SMR,2031,9450.3,205.766,2.737,9.18
Nuclear-SMR,2032,9376.9,205.766,2.737,9.18
Nuclear-SMR,2033,9309.2,205.766,2.737,9.18
Nuclear-SMR,2034,9246.2,205.766,2.737,9.18
Nuclear-SMR,2035,9187.4,205.766,2.737,9.18
Nuclear-SMR,2036,9043.6,205.766,2.737,9.18
Nuclear-SMR,2037,8920.4,205.766,2.737,9.18
Nuclear-SMR,2038,8812.7,205.766,2.737,9.18
Nuclear-SMR,2039,8717.3,205.766,2.737,9.18
Nuclear-SMR,2040,8631.7,205.766,2.737,9.18
Nuclear-SMR,2041,8514.9,205.766,2.737,9.18
Nuclear-SMR,2042,8412.7,205.766,2.737,9.18
Nuclear-SMR,2043,8322.1,205.766,2.737,9.18
Nuclear-SMR,2044,8240.7,205.766,2.737,9.18
Nuclear-SMR,2045,8167.0,205.766,2.737,9.18
Nuclear-SMR,2046,8037.8,205.766,2.737,9.18
Nuclear-SMR,2047,7927.2,205.766,2.737,9.18
Nuclear-SMR,2048,7830.7,205.766,2.737,9.18
Nuclear-SMR,2049,7718.0,205.766,2.737,9.18
Nuclear-SMR,2050,7599.5,205.766,2.737,9.18
