i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,5500.0,118.0,2.2,9.18
Nuclear-SMR,2031,3502.2,118.0,2.2,9.18
Nuclear-SMR,2032,2913.6,118.0,2.2,9.18
Nuclear-SMR,2033,2590.5,118.0,2.2,9.18
Nuclear-SMR,2034,2375.8,118.0,2.2,9.18
Nuclear-SMR,2035,2205.5,118.0,2.2,9.18
Nuclear-SMR,2036,2139.4,118.0,2.2,9.18
Nuclear-SMR,2037,2080.6,118.0,2.2,9.18
Nuclear-SMR,2038,2027.8,118.0,2.2,9.18
Nuclear-SMR,2039,1980.0,118.0,2.2,9.18
Nuclear-SMR,2040,1936.4,118.0,2.2,9.18
Nuclear-SMR,2041,1784.4,118.0,2.2,9.18
Nuclear-SMR,2042,1671.3,118.0,2.2,9.18
Nuclear-SMR,2043,1582.4,118.0,2.2,9.18
Nuclear-SMR,2044,1509.9,118.0,2.2,9.18
Nuclear-SMR,2045,1449.2,118.0,2.2,9.18
Nuclear-SMR,2046,1397.2,118.0,2.2,9.18
Nuclear-SMR,2047,1352.0,118.0,2.2,9.18
Nuclear-SMR,2048,1312.2,118.0,2.2,9.18
Nuclear-SMR,2049,1274.2,118.0,2.2,9.18
Nuclear-SMR,2050,1238.3,118.0,2.2,9.18
