i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,9213.2,198.865,2.695,9.18
Nuclear-SMR,2031,8619.0,198.865,2.695,9.18
Nuclear-SMR,2032,8354.6,198.865,2.695,9.18
Nuclear-SMR,2033,8182.2,198.865,2.695,9.18
Nuclear-SMR,2034,8054.3,198.865,2.695,9.18
Nuclear-SMR,2035,7951.7,198.865,2.695,9.18
Nuclear-SMR,2036,7913.1,198.865,2.695,9.18
Nuclear-SMR,2037,7877.2,198.865,2.695,9.18
Nuclear-SMR,2038,7843.8,198.865,2.695,9.18
Nuclear-SMR,2039,7812.6,198.865,2.695,9.18
Nuclear-SMR,2040,7783.2,198.865,2.695,9.18
Nuclear-SMR,2041,7660.4,198.865,2.695,9.18
Nuclear-SMR,2042,7562.9,198.865,2.695,9.18
Nuclear-SMR,2043,7482.1,198.865,2.695,9.18
Nuclear-SMR,2044,7413.3,198.865,2.695,9.18
Nuclear-SMR,2045,7353.4,198.865,2.695,9.18
Nuclear-SMR,2046,7300.4,198.865,2.695,9.18
Nuclear-SMR,2047,7253.0,198.865,2.695,9.18
Nuclear-SMR,2048,7210.0,198.865,2.695,9.18
Nuclear-SMR,2049,7167.9,198.865,2.695,9.18
Nuclear-SMR,2050,7127.0,198.865,2.695,9.18
