i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,10000.0,216.0,2.8,9.18
Nuclear-SMR,2031,10000.0,216.0,2.8,9.18
Nuclear-SMR,2032,9797.9,216.0,2.8,9.18
Nuclear-SMR,2033,9651.0,216.0,2.8,9.18
Nuclear-SMR,2034,9536.0,216.0,2.8,9.18
Nuclear-SMR,2035,9441.6,216.0,2.8,9.18
Nuclear-SMR,2036,9361.8,216.0,2.8,9.18
Nuclear-SMR,2037,9292.6,216.0,2.8,9.18
Nuclear-SMR,2038,9231.6,216.0,2.8,9.18
Nuclear-SMR,2039,9177.1,216.0,2.8,9.18
Nuclear-SMR,2040,9127.7,216.0,2.8,9.18
Nuclear-SMR,2041,9082.7,216.0,2.8,9.18
Nuclear-SMR,2042,9004.9,216.0,2.8,9.18
Nuclear-SMR,2043,8937.5,216.0,2.8,9.18
Nuclear-SMR,2044,8878.3,216.0,2.8,9.18
Nuclear-SMR,2045,8825.5,216.0,2.8,9.18
Nuclear-SMR,2046,8777.0,216.0,2.8,9.18
Nuclear-SMR,2047,8733.0,216.0,2.8,9.18
Nuclear-SMR,2048,8693.0,216.0,2.8,9.18
Nuclear-SMR,2049,8655.9,216.0,2.8,9.18
Nuclear-SMR,2050,8619.1,216.0,2.8,9.18
