i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,5500.0,118.0,2.2,9.18
Nuclear-SMR,2031,3195.7,118.0,2.2,9.18
Nuclear-SMR,2032,2628.2,118.0,2.2,9.18
Nuclear-SMR,2033,2326.3,118.0,2.2,9.18
Nuclear-SMR,2034,2128.3,118.0,2.2,9.18
Nuclear-SMR,2035,1976.1,118.0,2.2,9.18
Nuclear-SMR,2036,1860.0,118.0,2.2,9.18
Nuclear-SMR,2037,1767.2,118.0,2.2,9.18
Nuclear-SMR,2038,1690.6,118.0,2.2,9.18
Nuclear-SMR,2039,1625.8,118.0,2.2,9.18
Nuclear-SMR,2040,1570.0,118.0,2.2,9.18
Nuclear-SMR,2041,1479.9,118.0,2.2,9.18
Nuclear-SMR,2042,1407.5,118.0,2.2,9.18
Nuclear-SMR,2043,1347.6,118.0,2.2,9.18
Nuclear-SMR,2044,1296.8,118.0,2.2,9.18
Nuclear-SMR,2045,1252.9,118.0,2.2,9.18
Nuclear-SMR,2046,1214.4,118.0,2.2,9.18
Nuclear-SMR,2047,1180.3,118.0,2.2,9.18
Nuclear-SMR,2048,1149.7,118.0,2.2,9.18
Nuclear-SMR,2049,1120.6,118.0,2.2,9.18
Nuclear-SMR,2050,1093.1,118.0,2.2,9.18
