i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8000.0,136.0,2.6,9.18
Nuclear-SMR,2031,5851.5,136.0,2.6,9.18
Nuclear-SMR,2032,5228.3,136.0,2.6,9.18
Nuclear-SMR,2033,4873.4,136.0,2.6,9.18
Nuclear-SMR,2034,4630.1,136.0,2.6,9.18
Nuclear-SMR,2035,4445.2,136.0,2.6,9.18
Nuclear-SMR,2036,4298.5,136.0,2.6,9.18
Nuclear-SMR,2037,4177.6,136.0,2.6,9.18
Nuclear-SMR,2038,4075.3,136.0,2.6,9.18
Nuclear-SMR,2039,3986.9,136.0,2.6,9.18
Nuclear-SMR,2040,3909.2,136.0,2.6,9.18
Nuclear-SMR,2041,3778.7,136.0,2.6,9.18
Nuclear-SMR,2042,3671.4,136.0,2.6,9.18
Nuclear-SMR,2043,3580.6,136.0,2.6,9.18
Nuclear-SMR,2044,3502.3,136.0,2.6,9.18
Nuclear-SMR,2045,3433.5,136.0,2.6,9.18
Nuclear-SMR,2046,3372.4,136.0,2.6,9.18
Nuclear-SMR,2047,3317.5,136.0,2.6,9.18
Nuclear-SMR,2048,3267.8,136.0,2.6,9.18
Nuclear-SMR,2049,3219.8,136.0,2.6,9.18
Nuclear-SMR,2050,3173.8,136.0,2.6,9.18
