i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,5828.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2031,5828.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2032,4239.3,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2033,3637.9,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2034,3286.2,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2035,3044.8,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2036,2864.5,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2037,2722.3,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2038,2606.0,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2039,2508.2,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2040,2424.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2041,2351.3,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2042,2229.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2043,2130.6,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2044,2048.0,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2045,1977.6,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2046,1916.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2047,1862.5,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2048,1814.5,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2049,1771.4,125.15290450764006,2.243793292903919,9.18
Nuclear-SMR,2050,1730.1,125.15290450764006,2.243793292903919,9.18
