i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,5500.0,118.0,2.2,9.18
Nuclear-SMR,2031,4108.3,118.0,2.2,9.18
Nuclear-SMR,2032,3527.2,118.0,2.2,9.18
Nuclear-SMR,2033,3178.9,118.0,2.2,9.18
Nuclear-SMR,2034,2937.4,118.0,2.2,9.18
Nuclear-SMR,2035,2725.3,118.0,2.2,9.18
Nuclear-SMR,2036,2563.9,118.0,2.2,9.18
Nuclear-SMR,2037,2435.2,118.0,2.2,9.18
Nuclear-SMR,2038,2329.0,118.0,2.2,9.18
Nuclear-SMR,2039,2239.4,118.0,2.2,9.18
Nuclear-SMR,2040,2162.1,118.0,2.2,9.18
Nuclear-SMR,2041,2085.5,118.0,2.2,9.18
Nuclear-SMR,2042,2018.7,118.0,2.2,9.18
Nuclear-SMR,2043,1959.8,118.0,2.2,9.18
Nuclear-SMR,2044,1907.2,118.0,2.2,9.18
Nuclear-SMR,2045,1859.9,118.0,2.2,9.18
Nuclear-SMR,2046,1817.0,118.0,2.2,9.18
Nuclear-SMR,2047,1777.8,118.0,2.2,9.18
Nuclear-SMR,2048,1741.8,118.0,2.2,9.18
Nuclear-SMR,2049,1700.5,118.0,2.2,9.18
Nuclear-SMR,2050,1656.6,118.0,2.2,9.18
