i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,8000.0,136.0,2.6,9.18
Nuclear-SMR,2031,6762.6,136.0,2.6,9.18
Nuclear-SMR,2032,6193.8,136.0,2.6,9.18
Nuclear-SMR,2033,5833.7,136.0,2.6,9.18
Nuclear-SMR,2034,5574.3,136.0,2.6,9.18
Nuclear-SMR,2035,5367.2,136.0,2.6,9.18
Nuclear-SMR,2036,5200.5,136.0,2.6,9.18
Nuclear-SMR,2037,5061.7,136.0,2.6,9.18
Nuclear-SMR,2038,4943.3,136.0,2.6,9.18
Nuclear-SMR,2039,4840.2,136.0,2.6,9.18
Nuclear-SMR,2040,4749.3,136.0,2.6,9.18
Nuclear-SMR,2041,4658.5,136.0,2.6,9.18
Nuclear-SMR,2042,4577.6,136.0,2.6,9.18
Nuclear-SMR,2043,4504.7,136.0,2.6,9.18
Nuclear-SMR,2044,4438.3,136.0,2.6,9.18
Nuclear-SMR,2045,4377.6,136.0,2.6,9.18
Nuclear-SMR,2046,4321.7,136.0,2.6,9.18
Nuclear-SMR,2047,4270.0,136.0,2.6,9.18
Nuclear-SMR,2048,4221.7,136.0,2.6,9.18
Nuclear-SMR,2049,4164.1,136.0,2.6,9.18
Nuclear-SMR,2050,4100.0,136.0,2.6,9.18
