i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6756.7,145.368,2.368,9.18
Nuclear-SMR,2031,5048.5,145.368,2.368,9.18
Nuclear-SMR,2032,4335.0,145.368,2.368,9.18
Nuclear-SMR,2033,3907.3,145.368,2.368,9.18
Nuclear-SMR,2034,3610.8,145.368,2.368,9.18
Nuclear-SMR,2035,3384.5,145.368,2.368,9.18
Nuclear-SMR,2036,3206.4,145.368,2.368,9.18
Nuclear-SMR,2037,3060.8,145.368,2.368,9.18
Nuclear-SMR,2038,2938.6,145.368,2.368,9.18
Nuclear-SMR,2039,2834.0,145.368,2.368,9.18
Nuclear-SMR,2040,2742.9,145.368,2.368,9.18
Nuclear-SMR,2041,2653.2,145.368,2.368,9.18
Nuclear-SMR,2042,2574.1,145.368,2.368,9.18
Nuclear-SMR,2043,2503.7,145.368,2.368,9.18
Nuclear-SMR,2044,2440.5,145.368,2.368,9.18
Nuclear-SMR,2045,2383.2,145.368,2.368,9.18
Nuclear-SMR,2046,2330.9,145.368,2.368,9.18
Nuclear-SMR,2047,2282.9,145.368,2.368,9.18
Nuclear-SMR,2048,2238.7,145.368,2.368,9.18
Nuclear-SMR,2049,2185.6,145.368,2.368,9.18
Nuclear-SMR,2050,2127.9,145.368,2.368,9.18
