i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,8000.0,136.0,2.6,9.18
Nuclear-SMR,2023,8000.0,136.0,2.6,9.18
Nuclear-SMR,2024,8000.0,136.0,2.6,9.18
Nuclear-SMR,2025,8000.0,136.0,2.6,9.18
Nuclear-SMR,2026,8000.0,136.0,2.6,9.18
Nuclear-SMR,2027,8000.0,136.0,2.6,9.18
Nuclear-SMR,2028,8000.0,136.0,2.6,9.18
Nuclear-SMR,2029,8000.0,136.0,2.6,9.18
Nuclear-SMR,2030,6985.4,150.348,2.398,9.18
Nuclear-SMR,2031,6425.5,150.348,2.398,9.18
Nuclear-SMR,2032,6116.5,150.348,2.398,9.18
Nuclear-SMR,2033,5905.5,150.348,2.398,9.18
Nuclear-SMR,2034,5746.6,150.348,2.398,9.18
Nuclear-SMR,2035,5619.5,150.348,2.398,9.18
Nuclear-SMR,2036,5514.1,150.348,2.398,9.18
Nuclear-SMR,2037,5424.5,150.348,2.398,9.18
Nuclear-SMR,2038,5346.6,150.348,2.398,9.18
Nuclear-SMR,2039,5277.9,150.348,2.398,9.18
Nuclear-SMR,2040,5216.4,150.348,2.398,9.18
Nuclear-SMR,2041,5117.5,150.348,2.398,9.18
Nuclear-SMR,2042,5033.4,150.348,2.398,9.18
Nuclear-SMR,2043,4960.5,150.348,2.398,9.18
Nuclear-SMR,2044,4896.2,150.348,2.398,9.18
Nuclear-SMR,2045,4838.8,150.348,2.398,9.18
Nuclear-SMR,2046,4787.0,150.348,2.398,9.18
Nuclear-SMR,2047,4739.9,150.348,2.398,9.18
Nuclear-SMR,2048,4696.6,150.348,2.398,9.18
Nuclear-SMR,2049,4649.9,150.348,2.398,9.18
Nuclear-SMR,2050,4601.5,150.348,2.398,9.18
