i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,5278.0,126.87334165095048,1.9167950317490476,10.497
Nuclear,2031,5278.0,126.87334165095048,1.9167950317490476,10.497
Nuclear,2032,5265.1,126.87334165095048,1.9167950317490476,10.497
Nuclear,2033,5257.0,126.87334165095048,1.9167950317490476,10.497
Nuclear,2034,5251.6,126.87334165095048,1.9167950317490476,10.497
Nuclear,2035,5247.5,126.87334165095048,1.9167950317490476,10.497
Nuclear,2036,5244.5,126.87334165095048,1.9167950317490476,10.497
Nuclear,2037,5242.2,126.87334165095048,1.9167950317490476,10.497
Nuclear,2038,5240.2,126.87334165095048,1.9167950317490476,10.497
Nuclear,2039,5238.7,126.87334165095048,1.9167950317490476,10.497
Nuclear,2040,5237.3,126.87334165095048,1.9167950317490476,10.497
Nuclear,2041,5236.1,126.87334165095048,1.9167950317490476,10.497
Nuclear,2042,5235.1,126.87334165095048,1.9167950317490476,10.497
Nuclear,2043,5234.1,126.87334165095048,1.9167950317490476,10.497
Nuclear,2044,5233.3,126.87334165095048,1.9167950317490476,10.497
Nuclear,2045,5232.6,126.87334165095048,1.9167950317490476,10.497
Nuclear,2046,5231.8,126.87334165095048,1.9167950317490476,10.497
Nuclear,2047,5231.2,126.87334165095048,1.9167950317490476,10.497
Nuclear,2048,5230.7,126.87334165095048,1.9167950317490476,10.497
Nuclear,2049,5230.2,126.87334165095048,1.9167950317490476,10.497
Nuclear,2050,5229.6,126.87334165095048,1.9167950317490476,10.497
