i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,5498.6,133.75733845211033,2.049179585617506,10.497
Nuclear,2031,5498.6,133.75733845211033,2.049179585617506,10.497
Nuclear,2032,5258.5,133.75733845211033,2.049179585617506,10.497
Nuclear,2033,5082.2,133.75733845211033,2.049179585617506,10.497
Nuclear,2034,4943.7,133.75733845211033,2.049179585617506,10.497
Nuclear,2035,4830.2,133.75733845211033,2.049179585617506,10.497
Nuclear,2036,4734.2,133.75733845211033,2.049179585617506,10.497
Nuclear,2037,4651.3,133.75733845211033,2.049179585617506,10.497
Nuclear,2038,4578.6,133.75733845211033,2.049179585617506,10.497
Nuclear,2039,4513.8,133.75733845211033,2.049179585617506,10.497
Nuclear,2040,4455.5,133.75733845211033,2.049179585617506,10.497
Nuclear,2041,4402.7,133.75733845211033,2.049179585617506,10.497
Nuclear,2042,4348.4,133.75733845211033,2.049179585617506,10.497
Nuclear,2043,4298.9,133.75733845211033,2.049179585617506,10.497
Nuclear,2044,4253.5,133.75733845211033,2.049179585617506,10.497
Nuclear,2045,4211.5,133.75733845211033,2.049179585617506,10.497
Nuclear,2046,4172.5,133.75733845211033,2.049179585617506,10.497
Nuclear,2047,4136.2,133.75733845211033,2.049179585617506,10.497
Nuclear,2048,4102.1,133.75733845211033,2.049179585617506,10.497
Nuclear,2049,4070.1,133.75733845211033,2.049179585617506,10.497
Nuclear,2050,4031.1,133.75733845211033,2.049179585617506,10.497
