i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,6545.6,166.42418200388877,2.677388115459399,10.497
Nuclear,2031,6545.6,166.42418200388877,2.677388115459399,10.497
Nuclear,2032,6024.1,166.42418200388877,2.677388115459399,10.497
Nuclear,2033,5673.3,166.42418200388877,2.677388115459399,10.497
Nuclear,2034,5412.8,166.42418200388877,2.677388115459399,10.497
Nuclear,2035,5207.6,166.42418200388877,2.677388115459399,10.497
Nuclear,2036,5039.5,166.42418200388877,2.677388115459399,10.497
Nuclear,2037,4957.9,166.42418200388877,2.677388115459399,10.497
Nuclear,2038,4882.3,166.42418200388877,2.677388115459399,10.497
Nuclear,2039,4812.7,166.42418200388877,2.677388115459399,10.497
Nuclear,2040,4745.8,166.42418200388877,2.677388115459399,10.497
Nuclear,2041,4682.9,166.42418200388877,2.677388115459399,10.497
Nuclear,2042,4508.4,166.42418200388877,2.677388115459399,10.497
Nuclear,2043,4363.9,166.42418200388877,2.677388115459399,10.497
Nuclear,2044,4241.7,166.42418200388877,2.677388115459399,10.497
Nuclear,2045,4137.1,166.42418200388877,2.677388115459399,10.497
Nuclear,2046,4035.8,166.42418200388877,2.677388115459399,10.497
Nuclear,2047,3947.4,166.42418200388877,2.677388115459399,10.497
Nuclear,2048,3872.8,166.42418200388877,2.677388115459399,10.497
Nuclear,2049,3803.2,166.42418200388877,2.677388115459399,10.497
Nuclear,2050,3730.4,166.42418200388877,2.677388115459399,10.497
