i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,6481.7,164.43050953456824,2.639048260280158,10.497
Nuclear,2031,6481.7,164.43050953456824,2.639048260280158,10.497
Nuclear,2032,6284.1,164.43050953456824,2.639048260280158,10.497
Nuclear,2033,6120.6,164.43050953456824,2.639048260280158,10.497
Nuclear,2034,5981.8,164.43050953456824,2.639048260280158,10.497
Nuclear,2035,5861.5,164.43050953456824,2.639048260280158,10.497
Nuclear,2036,5755.6,164.43050953456824,2.639048260280158,10.497
Nuclear,2037,5661.3,164.43050953456824,2.639048260280158,10.497
Nuclear,2038,5576.4,164.43050953456824,2.639048260280158,10.497
Nuclear,2039,5498.1,164.43050953456824,2.639048260280158,10.497
Nuclear,2040,5427.7,164.43050953456824,2.639048260280158,10.497
Nuclear,2041,5361.9,164.43050953456824,2.639048260280158,10.497
Nuclear,2042,5290.0,164.43050953456824,2.639048260280158,10.497
Nuclear,2043,5222.9,164.43050953456824,2.639048260280158,10.497
Nuclear,2044,5159.5,164.43050953456824,2.639048260280158,10.497
Nuclear,2045,5100.2,164.43050953456824,2.639048260280158,10.497
Nuclear,2046,5045.4,164.43050953456824,2.639048260280158,10.497
Nuclear,2047,4992.5,164.43050953456824,2.639048260280158,10.497
Nuclear,2048,4941.6,164.43050953456824,2.639048260280158,10.497
Nuclear,2049,4894.7,164.43050953456824,2.639048260280158,10.497
Nuclear,2050,4837.0,164.43050953456824,2.639048260280158,10.497
