i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,5250.0,126.0,1.9,10.497
Nuclear,2031,5250.0,126.0,1.9,10.497
Nuclear,2032,4927.0,126.0,1.9,10.497
Nuclear,2033,4685.2,126.0,1.9,10.497
Nuclear,2034,4494.0,126.0,1.9,10.497
Nuclear,2035,4337.0,126.0,1.9,10.497
Nuclear,2036,4204.5,126.0,1.9,10.497
Nuclear,2037,4080.3,126.0,1.9,10.497
Nuclear,2038,3972.8,126.0,1.9,10.497
Nuclear,2039,3878.4,126.0,1.9,10.497
Nuclear,2040,3793.1,126.0,1.9,10.497
Nuclear,2041,3717.8,126.0,1.9,10.497
Nuclear,2042,3630.3,126.0,1.9,10.497
Nuclear,2043,3552.5,126.0,1.9,10.497
Nuclear,2044,3481.5,126.0,1.9,10.497
Nuclear,2045,3415.4,126.0,1.9,10.497
Nuclear,2046,3354.6,126.0,1.9,10.497
Nuclear,2047,3290.9,126.0,1.9,10.497
Nuclear,2048,3231.2,126.0,1.9,10.497
Nuclear,2049,3175.3,126.0,1.9,10.497
Nuclear,2050,3120.4,126.0,1.9,10.497
