t,szn
2010,sy2012d009
2010,sy2012d178
2010,sy2012d188
2010,sy2012d226
2010,sy2012d232
2010,sy2012d259
2010,sy2012d271
2010,sy2012d349
2010,sy2012d351
2020,sy2012d009
2020,sy2012d178
2020,sy2012d188
2020,sy2012d226
2020,sy2012d232
2020,sy2012d259
2020,sy2012d271
2020,sy2012d349
2020,sy2012d351
2026,sy2012d009
2026,sy2012d178
2026,sy2012d188
2026,sy2012d226
2026,sy2012d232
2026,sy2012d259
2026,sy2012d271
2026,sy2012d349
2026,sy2012d351
2029,sy2012d009
2029,sy2012d178
2029,sy2012d188
2029,sy2012d226
2029,sy2012d232
2029,sy2012d259
2029,sy2012d271
2029,sy2012d349
2029,sy2012d351
2033,sy2012d009
2033,sy2012d178
2033,sy2012d188
2033,sy2012d226
2033,sy2012d232
2033,sy2012d259
2033,sy2012d271
2033,sy2012d349
2033,sy2012d351
2035,sy2012d009
2035,sy2012d178
2035,sy2012d188
2035,sy2012d226
2035,sy2012d232
2035,sy2012d259
2035,sy2012d271
2035,sy2012d349
2035,sy2012d351
