stress,cell,min_P_smr,max_P_smr,C1_holds,C3_holds
baseline (default),k100,0.8209,0.889,True,True
floor phi=0.3,floor030@k100,0.8209,0.889,True,
baseline (default),k050,0.7084,0.8546,True,True
floor phi=0.3,floor030@k050,0.7084,0.8537,True,
baseline (default),k000,0.6288,0.8097,True,True
floor phi=0.3,floor030@k000,0.6288,0.8089,True,
OB x1.5,ob@k100,0.0024,0.2066,False,False
OB x1.5,ob@k050,0.1259,0.4197,False,False
OB x1.5,ob@k000,0.2293,0.4939,False,False
NEGLR sym -15%,neglr_sym@k100,0.4541,0.4941,False,False
NEGLR sym -15%,neglr_sym@k050,0.5866,0.664,True,True
NEGLR sym -15%,neglr_sym@k000,0.5586,0.6876,True,True
NEGLR large_only -15%,neglr_large@k100,0.9446,1.0,True,True
NEGLR large_only -15%,neglr_large@k050,0.7235,0.917,True,True
NEGLR large_only -15%,neglr_large@k000,0.6353,0.8579,True,True
floor phi=0.5,floor050@k100,0.8209,0.8778,True,True
floor phi=0.5,floor050@k050,0.7084,0.8049,True,True
floor phi=0.5,floor050@k000,0.6288,0.7468,True,True
FLEX 25,k100,0.9085,0.9399,True,True
FLEX 25,k050,0.7751,0.8978,True,True
FLEX 25,k000,0.6907,0.8542,True,True
FLEX 50,k100,0.9669,0.971,True,True
FLEX 50,k050,0.8359,0.9325,True,True
FLEX 50,k000,0.7454,0.8934,True,True
capex object,k100,0.8186,0.8865,True,True
capex object,k050,0.7422,0.8927,True,True
capex object,k000,0.6714,0.8705,True,True
ITC 30%,k100,0.8224,0.8905,True,True
ITC 30%,k050,0.6956,0.8396,True,True
ITC 30%,k000,0.616,0.7853,True,True
