country,code,reactor_name,reactor_type,model,capacity_net_mw,construction_start,first_criticality,grid_connection,commercial_operation,suspended_date,permanent_shutdown,status
ARGENTINA,AR -1,ATUCHA-1,PHWR,PHWR KWU,340,1968-5,,1974-3,1974-6,,,operational
ARGENTINA,AR -2,EMBALSE,PHWR,CANDU 6,608,1974-3,,1983-4,1984-1,,,operational
ARGENTINA,AR -3,ATUCHA-2,PHWR,PHWR KWU,693,1981-7,,2014-6,2016-5,,,operational
ARMENIA,AM -19,ARMENIAN-2,PWR,VVER V-270,416,1975-7,,1980-1,1980-5,,,operational
BELARUS,BY -1,BELARUSIAN-1,PWR,VVER V-491,1110,2013-11,,2020-11,2021-6,,,operational
BELARUS,BY -2,BELARUSIAN-2,PWR,VVER V-491,1110,2014-4,,2023-5,2023-11,,,operational
BELGIUM,BE -2,DOEL-1,PWR,WH 2LP,445,1969-7,,1974-8,1975-2,,,operational
BELGIUM,BE -3,TIHANGE-1,PWR,Framatome 3,962,1970-6,,1975-3,1975-10,,,operational
BELGIUM,BE -4,DOEL-2,PWR,WH 2LP,445,1971-9,,1975-8,1975-12,,,operational
BELGIUM,BE -7,DOEL-4,PWR,WH 3LP,1026,1978-12,,1985-4,1985-7,,,operational
BELGIUM,BE -8,TIHANGE-3,PWR,WH 3LP,1030,1978-11,,1985-6,1985-9,,,operational
BRAZIL,BR -1,ANGRA-1,PWR,WH 2LP,609,1971-5,,1982-4,1985-1,,,operational
BRAZIL,BR -2,ANGRA-2,PWR,PRE KONVOI,1275,1976-1,,2000-7,2001-2,,,operational
BULGARIA,BG -5,KOZLODUY-5,PWR,VVER V-320,1003,1980-7,,1987-11,1988-12,,,operational
BULGARIA,BG -6,KOZLODUY-6,PWR,VVER V-320,1003,1982-4,,1991-8,1993-12,,,operational
CANADA,CA -10,BRUCE-3,PHWR,CANDU 750A,770,1972-7,,1977-12,1978-2,,,operational
CANADA,CA -11,BRUCE-4,PHWR,CANDU 750A,807,1972-9,,1978-12,1979-1,,,operational
CANADA,CA -13,PICKERING-5,PHWR,CANDU 500B,516,1974-11,,1982-12,1983-5,,,operational
CANADA,CA -14,PICKERING-6,PHWR,CANDU 500B,516,1975-10,,1983-11,1984-2,,,operational
CANADA,CA -15,PICKERING-7,PHWR,CANDU 500B,516,1976-3,,1984-11,1985-1,,,operational
CANADA,CA -16,PICKERING-8,PHWR,CANDU 500B,516,1976-9,,1986-1,1986-2,,,operational
CANADA,CA -17,POINT LEPREAU,PHWR,CANDU 6,660,1975-5,,1982-9,1983-2,,,operational
CANADA,CA -18,BRUCE-5,PHWR,CANDU 750B,817,1978-5,,1984-12,1985-2,,,operational
CANADA,CA -19,BRUCE-6,PHWR,CANDU 750B,817,1978-1,,1984-6,1984-9,,,operational
CANADA,CA -20,BRUCE-7,PHWR,CANDU 750B,817,1979-5,,1986-2,1986-4,,,operational
CANADA,CA -21,BRUCE-8,PHWR,CANDU 750B,817,1979-7,,1987-3,1987-5,,,operational
CANADA,CA -22,DARLINGTON-1,PHWR,CANDU 850,878,1982-4,,1990-12,1992-11,,,operational
CANADA,CA -23,DARLINGTON-2,PHWR,CANDU 850,878,1981-9,,1990-1,1990-10,,,operational
CANADA,CA -24,DARLINGTON-3,PHWR,CANDU 850,878,1984-9,,1992-12,1993-2,,,operational
CANADA,CA -25,DARLINGTON-4,PHWR,CANDU 850,878,1985-7,,1993-4,1993-6,,,operational
CANADA,CA -8,BRUCE-1,PHWR,CANDU 791,816,1971-6,,1977-1,1977-9,,,operational
CANADA,CA -9,BRUCE-2,PHWR,CANDU 791,817,1970-12,,1976-9,1977-9,,,operational
CHINA,CN -1,QINSHAN-1,PWR,CNP-300,326,1985-3,,1991-12,1994-4,,,operational
CHINA,CN -10,TIANWAN-1,PWR,VVER V-428,1000,1999-10,,2006-5,2007-5,,,operational
