case,n_binding,mean_binding_dual_2024_kWyr,peak_dual_2024_kWyr,peak_year,dual_2050_2024_kWyr
smr100_eia_p05,4,70.1,176.5,2038,4.4
smr100_eia_p50,5,334.4,405.9,2038,310.2
smr100_eia_p95,5,610.1,693.0,2038,581.3
smr100_aj_p05,10,200.6,370.7,2031,69.0
smr100_aj_p50,10,389.7,441.1,2033,368.1
smr100_aj_p95,10,698.1,758.6,2033,627.7
smr100_iaea_p05,10,117.8,305.5,2031,58.9
smr100_iaea_p50,10,370.8,746.4,2031,230.9
smr100_iaea_p95,10,650.5,759.0,2031,620.3
smr100_mck_p05,10,121.4,318.2,2031,41.4
smr100_mck_p50,10,362.0,578.3,2031,268.3
smr100_mck_p95,10,653.4,781.6,2031,605.2
smr100_cop28_p05,10,107.7,369.6,2031,37.9
smr100_cop28_p50,10,347.0,668.8,2031,248.7
smr100_cop28_p95,10,660.0,840.9,2031,555.9
smr100_eo_p05,10,102.4,342.7,2031,55.9
smr100_eo_p50,10,313.6,431.8,2031,314.4
smr100_eo_p95,10,644.6,894.4,2031,596.2
large100_eia_p50,6,433.2,508.0,2031,388.0
large100_aj_p50,10,504.6,583.5,2033,397.1
large100_iaea_p50,10,461.2,637.9,2031,339.1
large100_mck_p50,10,460.7,628.8,2031,356.7
large100_cop28_p50,10,427.2,475.9,2031,449.3
large100_eo_p50,10,426.5,492.5,2031,456.2
smr100_eia_p50_eq,5,334.4,405.9,2038,310.2
