case,peak_year,end_over_peak,first_year_below_half_peak,n_zero_dual_mandated_years
smr100_eia_p05,2038,0.03,2041.0,1
smr100_eia_p50,2038,0.76,,0
smr100_eia_p95,2038,0.84,,0
smr100_aj_p05,2031,0.19,2041.0,0
smr100_aj_p50,2033,0.83,,0
smr100_aj_p95,2033,0.83,,0
smr100_iaea_p05,2031,0.19,2034.0,0
smr100_iaea_p50,2031,0.31,2035.0,0
smr100_iaea_p95,2031,0.82,,0
smr100_mck_p05,2031,0.13,2034.0,0
smr100_mck_p50,2031,0.46,2044.0,0
smr100_mck_p95,2031,0.77,,0
smr100_cop28_p05,2031,0.1,2032.0,0
smr100_cop28_p50,2031,0.37,2035.0,0
smr100_cop28_p95,2031,0.66,,0
smr100_eo_p05,2031,0.16,2032.0,0
smr100_eo_p50,2031,0.73,,0
smr100_eo_p95,2031,0.67,,0
large100_eia_p50,2031,0.76,2032.0,6
large100_aj_p50,2033,0.68,,2
large100_iaea_p50,2031,0.53,,2
large100_mck_p50,2031,0.57,,2
large100_cop28_p50,2031,0.94,,2
large100_eo_p50,2031,0.93,,2
smr100_eia_p50_eq,2038,0.76,,0
large100_eia_p05,2038,0.67,,6
large100_eia_p95,2038,0.88,,6
large100_aj_p05,2033,0.7,,2
large100_aj_p95,2033,0.93,,2
large100_iaea_p05,2031,0.53,,2
large100_iaea_p95,2031,0.86,,2
large100_mck_p05,2031,0.48,2044.0,2
large100_mck_p95,2031,0.95,,2
large100_cop28_p05,2031,0.59,,2
large100_cop28_p95,2031,0.84,,2
large100_eo_p05,2031,0.53,2038.0,2
large100_eo_p95,2031,0.91,,2
