case,PV_rental_transfer_2024B,peak_Rt_2024B,peak_Rt_year
smr100_eia_p05,5.6,1.7,2038
smr100_eia_p50,31.1,6.4,2050
smr100_eia_p95,56.7,12.0,2050
smr100_aj_p05,9.5,2.5,2050
smr100_aj_p50,32.7,13.4,2050
smr100_aj_p95,58.4,22.8,2050
smr100_iaea_p05,23.6,4.5,2050
smr100_iaea_p50,91.8,17.5,2050
smr100_iaea_p95,204.8,47.0,2050
smr100_mck_p05,24.3,4.3,2050
smr100_mck_p50,116.3,27.7,2050
smr100_mck_p95,237.4,62.6,2050
smr100_cop28_p05,31.9,7.7,2050
smr100_cop28_p50,190.8,50.6,2050
smr100_cop28_p95,419.0,113.1,2050
smr100_eo_p05,56.8,17.0,2050
smr100_eo_p50,331.9,95.4,2050
smr100_eo_p95,673.2,180.9,2050
large100_eia_p50,335.0,53.6,2038
large100_aj_p50,589.2,57.3,2033
large100_iaea_p50,617.9,64.0,2031
large100_mck_p50,641.6,70.3,2050
large100_cop28_p50,743.6,133.4,2050
large100_eo_p50,927.0,181.1,2050
smr100_eia_p50_eq,31.1,6.4,2050
