case,t,i_headline,B_t_2024B_per_yr,PV_weight_years
smr100_eia_p05,2038,0.523,8.24,3
smr100_eia_p05,2041,0.27,2.64,3
smr100_eia_p05,2044,0.051,0.02,3
smr100_eia_p05,2050,0.016,0.06,3
smr100_eia_p50,2038,0.792,18.17,3
smr100_eia_p50,2041,0.705,11.24,3
smr100_eia_p50,2044,0.648,0.33,3
smr100_eia_p50,2047,0.566,0.3,3
smr100_eia_p50,2050,0.626,5.07,3
smr100_eia_p95,2038,0.983,29.84,3
smr100_eia_p95,2041,0.958,18.95,3
smr100_eia_p95,2044,0.863,0.61,3
smr100_eia_p95,2047,0.819,0.59,3
smr100_eia_p95,2050,0.862,9.44,3
smr100_aj_p05,2031,0.663,1.04,2
smr100_aj_p05,2032,0.371,1.21,1
smr100_aj_p05,2033,0.637,1.64,1
smr100_aj_p05,2034,0.611,1.48,1
smr100_aj_p05,2035,0.576,1.33,1
smr100_aj_p05,2038,0.502,3.05,3
smr100_aj_p05,2041,0.286,1.97,3
smr100_aj_p05,2044,0.264,2.05,3
smr100_aj_p05,2047,0.238,2.68,3
smr100_aj_p05,2050,0.288,4.35,3
smr100_aj_p50,2031,0.697,1.16,2
smr100_aj_p50,2032,0.464,1.74,1
smr100_aj_p50,2033,0.787,2.4,1
smr100_aj_p50,2034,0.727,2.2,1
smr100_aj_p50,2035,0.705,2.11,1
smr100_aj_p50,2038,0.722,5.87,3
smr100_aj_p50,2041,0.665,6.93,3
smr100_aj_p50,2044,0.688,8.66,3
smr100_aj_p50,2047,0.685,14.06,3
smr100_aj_p50,2050,0.75,23.12,3
smr100_aj_p95,2031,0.9,1.99,2
smr100_aj_p95,2032,0.713,3.67,1
smr100_aj_p95,2033,0.989,3.83,1
smr100_aj_p95,2034,0.966,3.76,1
smr100_aj_p95,2035,0.9,3.68,1
smr100_aj_p95,2038,0.964,9.93,3
smr100_aj_p95,2041,0.965,11.77,3
smr100_aj_p95,2044,0.969,14.54,3
smr100_aj_p95,2047,0.977,25.27,3
smr100_aj_p95,2050,1.013,39.46,3
smr100_iaea_p05,2031,0.649,7.08,2
smr100_iaea_p05,2032,0.415,7.84,1
smr100_iaea_p05,2033,0.485,7.74,1
smr100_iaea_p05,2034,0.373,5.56,1
smr100_iaea_p05,2035,0.348,4.99,1
smr100_iaea_p05,2038,0.285,3.83,3
smr100_iaea_p05,2041,0.226,3.12,3
smr100_iaea_p05,2044,0.222,3.03,3
smr100_iaea_p05,2047,0.166,2.21,3
smr100_iaea_p05,2050,0.248,4.02,3
smr100_iaea_p50,2031,0.95,16.52,2
smr100_iaea_p50,2032,0.822,24.08,1
smr100_iaea_p50,2033,0.862,20.59,1
smr100_iaea_p50,2034,0.813,17.92,1
smr100_iaea_p50,2035,0.761,15.86,1
smr100_iaea_p50,2038,0.755,14.15,3
smr100_iaea_p50,2041,0.708,13.48,3
smr100_iaea_p50,2044,0.697,13.08,3
smr100_iaea_p50,2047,0.659,11.8,3
smr100_iaea_p50,2050,0.733,15.72,3
smr100_iaea_p95,2031,0.979,16.66,2
smr100_iaea_p95,2032,0.95,32.51,1
smr100_iaea_p95,2033,0.973,30.54,1
smr100_iaea_p95,2034,0.952,29.43,1
smr100_iaea_p95,2035,0.958,28.81,1
smr100_iaea_p95,2038,0.959,28.01,3
smr100_iaea_p95,2041,0.958,30.02,3
smr100_iaea_p95,2044,0.968,31.21,3
smr100_iaea_p95,2047,0.935,32.12,3
smr100_iaea_p95,2050,1.007,42.72,3
smr100_mck_p05,2031,0.649,7.57,2
smr100_mck_p05,2032,0.483,9.81,1
smr100_mck_p05,2033,0.526,8.93,1
smr100_mck_p05,2034,0.427,6.68,1
