case,t,i_headline,B_t_2024B_per_yr,transfer_share,PV_weight_years
smr100_eia_p05,2038,0.451,7.11,0.502,3
smr100_eia_p05,2041,0.24,2.34,0.391,3
smr100_eia_p05,2044,0.045,0.02,-0.001,3
smr100_eia_p05,2050,0.014,0.06,0.811,3
smr100_eia_p50,2038,0.704,16.15,0.394,3
smr100_eia_p50,2041,0.626,9.98,0.271,3
smr100_eia_p50,2044,0.576,0.3,0.092,3
smr100_eia_p50,2047,0.503,0.27,0.133,3
smr100_eia_p50,2050,0.557,4.51,0.134,3
smr100_eia_p95,2038,0.873,26.51,0.076,3
smr100_eia_p95,2041,0.851,16.83,0.327,3
smr100_eia_p95,2044,0.766,0.54,-0.001,3
smr100_eia_p95,2047,0.728,0.52,0.065,3
smr100_eia_p95,2050,0.766,8.39,0.116,3
smr100_aj_p05,2031,0.572,0.9,0.284,2
smr100_aj_p05,2032,0.32,1.04,0.001,1
smr100_aj_p05,2033,0.549,1.42,0.006,1
smr100_aj_p05,2034,0.527,1.28,0.042,1
smr100_aj_p05,2035,0.497,1.15,0.039,1
smr100_aj_p05,2038,0.446,2.71,0.369,3
smr100_aj_p05,2041,0.254,1.75,0.197,3
smr100_aj_p05,2044,0.234,1.82,0.353,3
smr100_aj_p05,2047,0.211,2.38,0.527,3
smr100_aj_p05,2050,0.256,3.86,0.703,3
smr100_aj_p50,2031,0.62,1.03,0.297,2
smr100_aj_p50,2032,0.412,1.55,-0.001,1
smr100_aj_p50,2033,0.699,2.13,0.1,1
smr100_aj_p50,2034,0.646,1.95,0.035,1
smr100_aj_p50,2035,0.626,1.88,-0.0,1
smr100_aj_p50,2038,0.662,5.38,0.398,3
smr100_aj_p50,2041,0.611,6.36,0.253,3
smr100_aj_p50,2044,0.631,7.95,0.321,3
smr100_aj_p50,2047,0.629,12.91,0.306,3
smr100_aj_p50,2050,0.688,21.21,0.325,3
smr100_aj_p95,2031,0.8,1.77,0.267,2
smr100_aj_p95,2032,0.634,3.26,0.0,1
smr100_aj_p95,2033,0.879,3.41,0.0,1
smr100_aj_p95,2034,0.858,3.34,0.082,1
smr100_aj_p95,2035,0.799,3.26,-0.0,1
smr100_aj_p95,2038,0.856,8.82,0.079,3
smr100_aj_p95,2041,0.858,10.47,0.34,3
smr100_aj_p95,2044,0.861,12.92,0.121,3
smr100_aj_p95,2047,0.869,22.48,0.202,3
smr100_aj_p95,2050,0.9,35.06,0.314,3
smr100_iaea_p05,2031,0.56,6.11,0.369,2
smr100_iaea_p05,2032,0.369,6.97,0.433,1
smr100_iaea_p05,2033,0.431,6.88,0.251,1
smr100_iaea_p05,2034,0.332,4.95,0.14,1
smr100_iaea_p05,2035,0.309,4.43,0.268,1
smr100_iaea_p05,2038,0.254,3.41,0.772,3
smr100_iaea_p05,2041,0.201,2.78,0.628,3
smr100_iaea_p05,2044,0.198,2.7,0.771,3
smr100_iaea_p05,2047,0.147,1.95,0.836,3
