case,t,S_t_2004_per_MW,C_cut_2004_per_MW,C_hold_2004_per_MW,cut_over_S,hold_over_S,tail_share_of_hold
smr100_eia_p05,2038,1571121,423901,438791,0.27,0.28,0.03
smr100_eia_p05,2041,722158,159114,178295,0.22,0.25,0.11
smr100_eia_p05,2044,160982,31349,55548,0.19,0.35,0.44
smr100_eia_p05,2050,39471,2537,39469,0.06,1.0,0.94
smr100_eia_p50,2038,3612125,1913493,2954794,0.53,0.82,0.35
smr100_eia_p50,2041,2998894,1463894,2805270,0.49,0.94,0.48
smr100_eia_p50,2044,2900150,1069476,2761798,0.37,0.95,0.61
smr100_eia_p50,2047,2606924,629354,2732113,0.24,1.05,0.77
smr100_eia_p50,2050,2760373,177451,2760227,0.06,1.0,0.94
smr100_eia_p95,2038,6167510,3451822,5403391,0.56,0.88,0.36
smr100_eia_p95,2041,5464113,2715456,5229415,0.5,0.96,0.48
smr100_eia_p95,2044,5331389,2004978,5176664,0.38,0.97,0.61
smr100_eia_p95,2047,5011255,1202496,5143411,0.24,1.03,0.77
smr100_eia_p95,2050,5173388,332573,5173116,0.06,1.0,0.94
smr100_aj_p05,2031,3299418,1451624,1562722,0.44,0.47,0.07
smr100_aj_p05,2032,2124670,1305939,1431677,0.61,0.67,0.09
smr100_aj_p05,2033,2876390,1232014,1373175,0.43,0.48,0.1
smr100_aj_p05,2034,2589034,1103213,1260625,0.43,0.49,0.12
smr100_aj_p05,2035,2348644,986973,1161506,0.42,0.49,0.15
smr100_aj_p05,2038,1699971,651038,882637,0.38,0.52,0.26
smr100_aj_p05,2041,957413,397146,695487,0.41,0.73,0.43
smr100_aj_p05,2044,743633,259324,635720,0.35,0.85,0.59
smr100_aj_p05,2047,601474,143945,611628,0.24,1.02,0.76
smr100_aj_p05,2050,613945,39468,613913,0.06,1.0,0.94
smr100_aj_p50,2031,3794013,2842539,3435335,0.75,0.91,0.17
smr100_aj_p50,2032,3069938,2737888,3408795,0.89,1.11,0.2
smr100_aj_p50,2033,3925865,2676670,3429875,0.68,0.87,0.22
smr100_aj_p50,2034,3821823,2554200,3394112,0.67,0.89,0.25
smr100_aj_p50,2035,3719838,2432214,3363480,0.65,0.9,0.28
smr100_aj_p50,2038,3438827,2047470,3283230,0.6,0.95,0.38
smr100_aj_p50,2041,3301597,1657716,3249590,0.5,0.98,0.49
smr100_aj_p50,2044,3198174,1231294,3239651,0.38,1.01,0.62
smr100_aj_p50,2047,3136672,754746,3250188,0.24,1.04,0.77
smr100_aj_p50,2050,3275862,210590,3275689,0.06,1.0,0.94
smr100_aj_p95,2031,6731534,5096123,6107057,0.76,0.91,0.17
smr100_aj_p95,2032,6470700,4913271,6057414,0.76,0.94,0.19
smr100_aj_p95,2033,6751733,4738287,6022777,0.7,0.89,0.21
smr100_aj_p95,2034,6532744,4534892,5967251,0.69,0.91,0.24
smr100_aj_p95,2035,6473822,4335430,5923580,0.67,0.92,0.27
smr100_aj_p95,2038,6197829,3683221,5790646,0.59,0.93,0.36
smr100_aj_p95,2041,5986184,2979585,5694315,0.5,0.95,0.48
smr100_aj_p95,2044,5780318,2202016,5627003,0.38,0.97,0.61
smr100_aj_p95,2047,5620041,1336745,5592391,0.24,1.0,0.76
smr100_aj_p95,2050,5586550,359133,5586255,0.06,1.0,0.94
smr100_iaea_p05,2031,2718624,801323,896189,0.29,0.33,0.11
smr100_iaea_p05,2032,1493704,660129,767496,0.44,0.51,0.14
smr100_iaea_p05,2033,1487052,594333,714870,0.4,0.48,0.17
smr100_iaea_p05,2034,1127782,525463,659875,0.47,0.59,0.2
smr100_iaea_p05,2035,1002894,477235,626267,0.48,0.62,0.24
smr100_iaea_p05,2038,711398,343244,541005,0.48,0.76,0.37
smr100_iaea_p05,2041,544738,248999,503749,0.46,0.92,0.51
smr100_iaea_p05,2044,506742,174487,495888,0.34,0.98,0.65
smr100_iaea_p05,2047,363890,95486,494836,0.26,1.36,0.81
smr100_iaea_p05,2050,524243,33701,524215,0.06,1.0,0.94
smr100_iaea_p50,2031,6643152,2601559,2973434,0.39,0.45,0.13
smr100_iaea_p50,2032,4444070,2291022,2711898,0.52,0.61,0.16
