case,PV_flat_grant_2024B,PV_grant_net_2024B,PV_ITC_outlay_2024B,PV_ITC_net_2024B,net_loss_ratio,net_loss_ratio_realistic,gross_scoring_ratio
smr100_eia_p05,20.2,15.0,19.5,15.7,1.04,1.2,0.96
smr100_eia_p50,61.2,45.4,57.8,47.5,1.05,1.18,0.95
smr100_eia_p95,107.6,79.9,97.1,79.9,1.0,1.12,0.9
smr100_aj_p05,27.0,20.0,25.4,20.8,1.04,1.18,0.94
smr100_aj_p50,89.4,66.4,84.3,71.4,1.08,1.18,0.94
smr100_aj_p95,158.5,117.7,145.3,119.5,1.02,1.14,0.92
smr100_iaea_p05,58.0,43.0,53.9,44.0,1.02,1.16,0.93
smr100_iaea_p50,195.4,145.1,181.4,153.3,1.06,1.16,0.93
smr100_iaea_p95,376.9,279.9,343.9,281.5,1.01,1.14,0.91
smr100_mck_p05,65.4,48.6,61.0,50.2,1.03,1.16,0.93
smr100_mck_p50,248.5,184.6,231.4,189.7,1.03,1.16,0.93
smr100_mck_p95,483.4,359.0,443.3,374.3,1.04,1.14,0.92
smr100_cop28_p05,105.1,78.1,96.5,78.7,1.01,1.14,0.92
smr100_cop28_p50,444.1,329.8,411.5,348.1,1.06,1.15,0.93
smr100_cop28_p95,907.8,674.1,830.9,683.2,1.01,1.14,0.92
smr100_eo_p05,162.7,120.8,149.5,122.9,1.02,1.14,0.92
smr100_eo_p50,683.3,507.4,628.9,516.0,1.02,1.15,0.92
smr100_eo_p95,1387.8,1030.6,1268.8,1038.9,1.01,1.14,0.91
large100_eia_p50,74.5,55.3,69.6,52.5,0.95,1.16,0.93
large100_aj_p50,107.6,79.9,100.4,73.8,0.92,1.16,0.93
large100_iaea_p50,253.2,188.0,234.9,171.7,0.91,1.16,0.93
large100_mck_p50,322.7,239.7,299.9,234.8,0.98,1.16,0.93
large100_cop28_p50,625.9,464.8,575.7,463.7,1.0,1.15,0.92
large100_eo_p50,956.1,710.0,876.9,679.5,0.96,1.14,0.92
smr100_eia_p50_eq,61.2,45.4,57.8,47.5,1.05,1.18,0.95
large100_eia_p05,44.7,33.2,42.1,31.2,0.94,1.17,0.94
large100_eia_p95,106.6,79.1,96.0,69.7,0.88,1.12,0.9
large100_aj_p05,63.8,47.4,60.8,46.0,0.97,1.19,0.95
large100_aj_p95,156.9,116.5,143.7,105.6,0.91,1.14,0.92
large100_iaea_p05,143.8,106.8,134.8,104.2,0.98,1.17,0.94
large100_iaea_p95,374.9,278.4,342.8,254.0,0.91,1.14,0.91
large100_mck_p05,177.1,131.5,165.1,125.7,0.96,1.16,0.93
large100_mck_p95,484.0,359.4,444.1,354.6,0.99,1.14,0.92
large100_cop28_p05,324.3,240.8,300.7,238.7,0.99,1.16,0.93
large100_cop28_p95,917.3,681.2,839.3,659.7,0.97,1.14,0.91
large100_eo_p05,494.9,367.5,456.6,367.5,1.0,1.15,0.92
large100_eo_p95,1427.8,1060.3,1304.1,1010.3,0.95,1.14,0.91
