case,PV_fed_2024B,PV_state_2024B,PV_zone_2024B,state_saving,zone_saving
smr100_eia_p05,19.5,17.3,17.3,0.111,0.113
smr100_eia_p50,57.8,52.3,52.3,0.095,0.095
smr100_eia_p95,97.2,92.1,92.1,0.052,0.052
smr100_aj_p05,25.4,23.1,23.1,0.09,0.092
smr100_aj_p50,84.4,76.6,76.5,0.092,0.094
smr100_aj_p95,145.4,136.1,135.6,0.064,0.067
smr100_iaea_p05,53.9,49.7,49.6,0.077,0.081
smr100_iaea_p50,181.4,167.5,167.1,0.077,0.079
smr100_iaea_p95,343.9,322.5,322.3,0.062,0.063
smr100_mck_p05,61.0,56.1,56.0,0.08,0.083
smr100_mck_p50,231.3,213.2,212.6,0.078,0.081
smr100_mck_p95,443.4,414.9,413.5,0.064,0.067
smr100_cop28_p05,96.5,90.5,89.9,0.062,0.068
smr100_cop28_p50,411.5,381.8,379.8,0.072,0.077
smr100_cop28_p95,830.9,779.2,776.4,0.062,0.066
smr100_eo_p05,149.5,139.9,139.1,0.064,0.069
smr100_eo_p50,629.0,589.0,584.4,0.064,0.071
smr100_eo_p95,1268.8,1196.8,1186.9,0.057,0.065
large100_eia_p50,69.6,63.7,63.7,0.084,0.084
large100_aj_p50,100.4,92.1,92.1,0.082,0.083
large100_iaea_p50,234.9,216.8,216.5,0.077,0.078
large100_mck_p50,299.9,276.9,276.0,0.077,0.08
large100_cop28_p50,575.6,537.7,535.3,0.066,0.07
large100_eo_p50,876.8,824.1,817.7,0.06,0.067
smr100_eia_p50_eq,57.8,52.3,52.3,0.095,0.095
large100_eia_p05,42.1,38.3,38.3,0.091,0.091
large100_eia_p95,96.0,91.1,91.1,0.051,0.051
large100_aj_p05,60.9,54.6,54.6,0.102,0.104
large100_aj_p95,143.8,134.6,134.2,0.063,0.067
large100_iaea_p05,134.8,123.3,123.0,0.085,0.088
large100_iaea_p95,342.8,320.9,320.6,0.064,0.064
large100_mck_p05,165.1,151.8,151.4,0.081,0.083
large100_mck_p95,444.1,415.4,413.9,0.065,0.068
large100_cop28_p05,300.7,278.9,277.4,0.073,0.078
large100_cop28_p95,839.4,787.6,784.6,0.062,0.065
large100_eo_p05,456.6,427.0,423.3,0.065,0.073
large100_eo_p95,1304.1,1230.2,1221.2,0.057,0.064
