schedule,pct,n_shared_binding,large_mean_2024_kWyr,smr_mean_2024_kWyr,ratio_large_over_smr
eia,p05,4,247.6,70.1,3.53
eia,p50,5,418.2,334.4,1.25
eia,p95,5,624.7,610.1,1.02
aj,p05,10,288.1,200.6,1.44
aj,p50,10,504.6,389.7,1.29
aj,p95,10,663.7,698.1,0.95
iaea,p05,10,261.4,117.8,2.22
iaea,p50,10,461.2,370.8,1.24
iaea,p95,10,646.6,650.5,0.99
mck,p05,10,262.9,121.4,2.17
mck,p50,10,460.7,362.0,1.27
mck,p95,10,639.9,653.4,0.98
cop28,p05,10,240.3,107.7,2.23
cop28,p50,10,427.2,347.0,1.23
cop28,p95,10,643.2,660.0,0.97
eo,p05,10,241.5,102.4,2.36
eo,p50,10,426.5,313.6,1.36
eo,p95,10,644.9,644.6,1.0
