dataset,case,max_abs_diff,max_rel_diff
load_rt,smr100_eia_p05,0.0,0.0
load_rt,smr100_eia_p95,0.0,0.0
load_rt,smr100_aj_p05,0.0,0.0
load_rt,smr100_aj_p50,0.0,0.0
load_rt,smr100_aj_p95,0.0,0.0
load_rt,smr100_iaea_p05,0.0,0.0
load_rt,smr100_iaea_p50,0.0,0.0
load_rt,smr100_iaea_p95,0.0,0.0
load_rt,smr100_mck_p05,0.0,0.0
load_rt,smr100_mck_p50,0.0,0.0
load_rt,smr100_mck_p95,0.0,0.0
load_rt,smr100_cop28_p05,0.0,0.0
load_rt,smr100_cop28_p50,0.0,0.0
load_rt,smr100_cop28_p95,0.0,0.0
load_rt,smr100_eo_p05,0.0,0.0
load_rt,smr100_eo_p50,0.0,0.0
load_rt,smr100_eo_p95,0.0,0.0
load_rt,large100_eia_p50,0.0,0.0
load_rt,large100_aj_p50,0.0,0.0
load_rt,large100_iaea_p50,0.0,0.0
load_rt,large100_mck_p50,0.0,0.0
load_rt,large100_cop28_p50,0.0,0.0
load_rt,large100_eo_p50,0.0,0.0
load_rt,smr100_eia_p50_eq,0.0,0.0
hours,smr100_eia_p05,0.0,0.0
hours,smr100_eia_p95,0.0,0.0
hours,smr100_aj_p05,0.0,0.0
hours,smr100_aj_p50,0.0,0.0
hours,smr100_aj_p95,0.0,0.0
hours,smr100_iaea_p05,0.0,0.0
hours,smr100_iaea_p50,0.0,0.0
hours,smr100_iaea_p95,0.0,0.0
hours,smr100_mck_p05,0.0,0.0
hours,smr100_mck_p50,0.0,0.0
hours,smr100_mck_p95,0.0,0.0
hours,smr100_cop28_p05,0.0,0.0
hours,smr100_cop28_p50,0.0,0.0
hours,smr100_cop28_p95,0.0,0.0
hours,smr100_eo_p05,0.0,0.0
hours,smr100_eo_p50,0.0,0.0
hours,smr100_eo_p95,0.0,0.0
hours,large100_eia_p50,0.0,0.0
hours,large100_aj_p50,0.0,0.0
hours,large100_iaea_p50,0.0,0.0
hours,large100_mck_p50,0.0,0.0
hours,large100_cop28_p50,0.0,0.0
hours,large100_eo_p50,0.0,0.0
hours,smr100_eia_p50_eq,0.0,0.0
load_cat[end_use],smr100_eia_p05,0.0,0.0
load_cat[end_use],smr100_eia_p95,0.0,0.0
load_cat[end_use],smr100_aj_p05,0.0,0.0
load_cat[end_use],smr100_aj_p50,0.0,0.0
load_cat[end_use],smr100_aj_p95,0.0,0.0
load_cat[end_use],smr100_iaea_p05,0.0,0.0
load_cat[end_use],smr100_iaea_p50,0.0,0.0
load_cat[end_use],smr100_iaea_p95,0.0,0.0
load_cat[end_use],smr100_mck_p05,0.0,0.0
load_cat[end_use],smr100_mck_p50,0.0,0.0
load_cat[end_use],smr100_mck_p95,0.0,0.0
load_cat[end_use],smr100_cop28_p05,0.0,0.0
load_cat[end_use],smr100_cop28_p50,0.0,0.0
load_cat[end_use],smr100_cop28_p95,0.0,0.0
load_cat[end_use],smr100_eo_p05,0.0,0.0
load_cat[end_use],smr100_eo_p50,0.0,0.0
load_cat[end_use],smr100_eo_p95,0.0,0.0
load_cat[end_use],large100_eia_p50,0.0,0.0
load_cat[end_use],large100_aj_p50,0.0,0.0
load_cat[end_use],large100_iaea_p50,0.0,0.0
load_cat[end_use],large100_mck_p50,0.0,0.0
load_cat[end_use],large100_cop28_p50,0.0,0.0
load_cat[end_use],large100_eo_p50,0.0,0.0
load_cat[end_use],smr100_eia_p50_eq,0.0,0.0
load_cat[dist_loss],smr100_eia_p05,0.0,0.0
load_cat[dist_loss],smr100_eia_p95,0.0,0.0
load_cat[dist_loss],smr100_aj_p05,0.0,0.0
load_cat[dist_loss],smr100_aj_p50,0.0,0.0
load_cat[dist_loss],smr100_aj_p95,0.0,0.0
load_cat[dist_loss],smr100_iaea_p05,0.0,0.0
load_cat[dist_loss],smr100_iaea_p50,0.0,0.0
load_cat[dist_loss],smr100_iaea_p95,0.0,0.0
load_cat[dist_loss],smr100_mck_p05,0.0,0.0
load_cat[dist_loss],smr100_mck_p50,0.0,0.0
load_cat[dist_loss],smr100_mck_p95,0.0,0.0
load_cat[dist_loss],smr100_cop28_p05,0.0,0.0
load_cat[dist_loss],smr100_cop28_p50,0.0,0.0
load_cat[dist_loss],smr100_cop28_p95,0.0,0.0
load_cat[dist_loss],smr100_eo_p05,0.0,0.0
load_cat[dist_loss],smr100_eo_p50,0.0,0.0
load_cat[dist_loss],smr100_eo_p95,0.0,0.0
load_cat[dist_loss],large100_eia_p50,0.0,0.0
load_cat[dist_loss],large100_aj_p50,0.0,0.0
load_cat[dist_loss],large100_iaea_p50,0.0,0.0
load_cat[dist_loss],large100_mck_p50,0.0,0.0
load_cat[dist_loss],large100_cop28_p50,0.0,0.0
load_cat[dist_loss],large100_eo_p50,0.0,0.0
load_cat[dist_loss],smr100_eia_p50_eq,0.0,0.0
