case,n_mandated_years,n_binding_years,n_slack_years,first_binding_year,max_overbuild_ratio
smr100_eia_p05,5,4,1,2038,1.03
smr100_eia_p50,5,5,0,2038,1.0
smr100_eia_p95,5,5,0,2038,1.0
smr100_aj_p05,10,10,0,2031,1.0
smr100_aj_p50,10,10,0,2031,1.0
smr100_aj_p95,10,10,0,2031,1.0
smr100_iaea_p05,10,10,0,2031,1.0
smr100_iaea_p50,10,10,0,2031,1.0
smr100_iaea_p95,10,10,0,2031,1.0
smr100_mck_p05,10,10,0,2031,1.0
smr100_mck_p50,10,10,0,2031,1.0
smr100_mck_p95,10,10,0,2031,1.0
smr100_cop28_p05,10,10,0,2031,1.0
smr100_cop28_p50,10,10,0,2031,1.0
smr100_cop28_p95,10,10,0,2031,1.0
smr100_eo_p05,10,10,0,2031,1.0
smr100_eo_p50,10,10,0,2031,1.0
smr100_eo_p95,10,10,0,2031,1.0
large100_eia_p50,12,6,2,2031,1.01
large100_aj_p50,12,10,2,2031,1.01
large100_iaea_p50,12,10,2,2031,1.01
large100_mck_p50,12,10,2,2031,1.01
large100_cop28_p50,12,10,2,2031,1.01
large100_eo_p50,12,10,2,2031,1.01
smr100_eia_p50_eq,5,5,0,2038,1.0
